车辆ID,发车时间,发车位置,方向,期望速度,车辆类型名称,路径
11334,1134.988,877.7881_0.8433979_1173.138,Left,31.02197,0_2,51_66
11335,1136.268,939.5887_0.688456_908.5142,Left,19.95155,0_4,65_51
11336,1136.908,759.0837_0.9621004_1021.051,Right,12.14064,2_0,66_61
11337,1136.908,758.1254_0.9621004_1026.974,Right,11.48814,2_0,66_51
11338,1138.349,877.7881_0.688456_1173.138,Left,15.45767,0_4,51_66
11339,1138.509,760.5212_0.9621004_1012.166,Right,11.69648,2_0,66_65
11340,1139.469,1127.173_0.8651666_1100.371,Left,20.40254,0_0,61_51
11341,1139.949,948.4979_0.730626_909.7896,Left,17.92824,0_3,65_61
11342,1140.269,1129.54_0.8433979_1085.559,Left,13.00047,0_2,61_65
11343,1140.589,880.7526_0.8651666_1173.598,Left,15.16552,0_0,51_65
11344,1140.749,877.7881_0.688456_1173.138,Left,29.60897,0_4,51_66
11345,1143.79,877.7881_0.8651666_1173.138,Left,24.81996,,51_66
11346,1143.95,883.7171_0.8429536_1174.058,Left,15.23237,0_1,51_65
11347,1144.27,948.4979_0.8433979_909.7896,Left,7.876004,0_2,65_61
11348,1145.23,760.042_0.9621004_1015.128,Right,25.48707,2_0,66_61
11349,1145.39,945.5281_0.688456_909.3644,Left,27.66172,0_4,65_51
11350,1145.87,939.5887_0.9621004_908.5142,Left,18.71925,2_0,65_51
11351,1146.19,936.619_0.9621004_908.089,Left,15.63416,2_0,65_51
11352,1147.951,760.5212_0.8651666_1012.166,Right,14.30011,0_0,66_65
11353,1148.271,942.5584_0.730626_908.9393,Left,24.5004,0_3,65_51
11354,1148.591,936.619_0.9621004_908.089,Left,21.71041,2_0,65_51
11355,1148.751,759.5629_0.688456_1018.089,Right,20.92838,0_4,66_61
11356,1149.391,889.6461_0.8433979_1174.979,Left,8.889337,0_2,51_65
11357,1150.031,948.4979_0.9621004_909.7896,Left,25.89571,2_0,65_61
11358,1150.191,1127.173_0.8429536_1100.371,Left,32.75196,0_1,61_51
11359,1152.272,1128.12_0.8651666_1094.446,Left,28.00215,0_0,61_66
11360,1152.432,877.7881_0.9621004_1173.138,Left,11.11488,2_0,51_66
11361,1152.752,948.4979_0.8651666_909.7896,Left,15.23349,0_0,65_61
11362,1153.392,939.5887_0.9621004_908.5142,Left,8.506122,2_0,65_51
11363,1154.672,936.619_0.9621004_908.089,Left,26.47794,2_0,65_51
11364,1155.632,1128.12_0.8651666_1094.446,Left,23.94352,0_0,61_66
11365,1156.432,877.7881_0.8429536_1173.138,Left,8.033634,0_1,51_66
11366,1156.913,936.619_0.8433979_908.089,Left,24.38341,0_2,65_51
11367,1157.233,942.5584_0.730626_908.9393,Left,6.001763,0_3,65_51
11368,1157.233,880.7526_0.9621004_1173.598,Left,17.31876,2_0,51_65
11369,1157.553,1129.54_0.8433979_1085.559,Left,29.23456,0_2,61_65
11370,1158.833,1130.014_0.8433979_1082.596,Left,11.77788,0_2,61_65
11371,1159.633,936.619_0.9621004_908.089,Left,9.927546,2_0,65_51
